日付,店舗,商品カテゴリ,商品名,数量,単価,金額
2025-01-01,大宮店,フード,サンドイッチ,4,600,2400
2025-01-02,池袋店,フード,サンドイッチ,4,600,2400
2025-01-02,横浜店,ドリンク,コーヒー,4,450,1800
2025-01-02,池袋店,フード,カレー,3,900,2700
2025-01-03,大宮店,ドリンク,ジュース,2,350,700
2025-01-04,池袋店,デザート,プリン,4,380,1520
2025-01-04,新宿店,フード,カレー,1,900,900
2025-01-05,横浜店,フード,パスタ,1,950,950
2025-01-05,渋谷店,デザート,プリン,5,380,1900
2025-01-08,池袋店,デザート,ケーキ,2,550,1100
2025-01-09,渋谷店,デザート,プリン,4,380,1520
2025-01-09,新宿店,ドリンク,ジュース,3,350,1050
2025-01-09,池袋店,ドリンク,ジュース,2,350,700
2025-01-11,大宮店,ドリンク,コーヒー,3,450,1350
2025-01-11,大宮店,ドリンク,コーヒー,2,450,900
2025-01-11,池袋店,フード,サンドイッチ,4,600,2400
2025-01-12,横浜店,デザート,プリン,3,380,1140
2025-01-13,新宿店,フード,サンドイッチ,2,600,1200
2025-01-13,渋谷店,ドリンク,コーヒー,2,450,900
2025-01-14,横浜店,ドリンク,紅茶,3,400,1200
2025-01-14,池袋店,ドリンク,コーヒー,4,450,1800
2025-01-15,大宮店,デザート,プリン,1,380,380
2025-01-16,新宿店,フード,カレー,2,900,1800
2025-01-17,渋谷店,ドリンク,ジュース,4,350,1400
2025-01-18,渋谷店,デザート,ケーキ,5,550,2750
2025-01-22,池袋店,デザート,ケーキ,5,550,2750
2025-01-22,新宿店,デザート,ケーキ,5,550,2750
2025-01-23,渋谷店,デザート,プリン,3,380,1140
2025-01-23,大宮店,デザート,ケーキ,5,550,2750
2025-01-23,横浜店,ドリンク,ジュース,4,350,1400
2025-01-23,池袋店,デザート,プリン,2,380,760
2025-01-23,横浜店,デザート,ケーキ,2,550,1100
2025-01-24,渋谷店,デザート,ケーキ,3,550,1650
2025-01-24,新宿店,フード,カレー,3,900,2700
2025-01-24,渋谷店,フード,カレー,1,900,900
2025-01-24,大宮店,フード,パスタ,4,950,3800
2025-01-26,大宮店,デザート,プリン,1,380,380
2025-01-26,池袋店,ドリンク,紅茶,2,400,800
2025-01-27,渋谷店,デザート,プリン,3,380,1140
2025-01-27,新宿店,フード,カレー,4,900,3600
2025-01-27,池袋店,フード,カレー,5,900,4500
2025-01-27,池袋店,ドリンク,ジュース,2,350,700
2025-01-29,新宿店,ドリンク,ジュース,3,350,1050
2025-01-29,池袋店,ドリンク,コーヒー,3,450,1350
2025-01-29,横浜店,ドリンク,ジュース,4,350,1400
2025-01-31,新宿店,フード,サンドイッチ,1,600,600
2025-02-01,横浜店,フード,パスタ,1,950,950
2025-02-02,横浜店,デザート,プリン,5,380,1900
2025-02-03,横浜店,フード,パスタ,1,950,950
2025-02-05,大宮店,デザート,ケーキ,2,550,1100
2025-02-05,池袋店,フード,パスタ,3,950,2850
2025-02-05,大宮店,デザート,プリン,3,380,1140
2025-02-05,大宮店,ドリンク,ジュース,2,350,700
2025-02-06,新宿店,デザート,プリン,4,380,1520
2025-02-07,横浜店,ドリンク,紅茶,5,400,2000
2025-02-07,横浜店,ドリンク,コーヒー,2,450,900
2025-02-07,渋谷店,デザート,ケーキ,5,550,2750
2025-02-08,横浜店,フード,パスタ,1,950,950
2025-02-09,池袋店,フード,サンドイッチ,4,600,2400
2025-02-09,渋谷店,ドリンク,紅茶,3,400,1200
2025-02-09,池袋店,ドリンク,コーヒー,2,450,900
2025-02-09,大宮店,フード,パスタ,4,950,3800
2025-02-09,大宮店,フード,カレー,3,900,2700
2025-02-10,渋谷店,ドリンク,コーヒー,5,450,2250
2025-02-10,横浜店,デザート,プリン,5,380,1900
2025-02-10,池袋店,フード,パスタ,1,950,950
2025-02-10,池袋店,フード,カレー,3,900,2700
2025-02-10,池袋店,フード,サンドイッチ,3,600,1800
2025-02-10,池袋店,フード,パスタ,4,950,3800
2025-02-11,新宿店,フード,パスタ,5,950,4750
2025-02-11,渋谷店,デザート,ケーキ,1,550,550
2025-02-11,大宮店,ドリンク,ジュース,5,350,1750
2025-02-11,大宮店,フード,パスタ,4,950,3800
2025-02-12,横浜店,フード,カレー,3,900,2700
2025-02-14,池袋店,ドリンク,ジュース,4,350,1400
2025-02-14,新宿店,フード,サンドイッチ,2,600,1200
2025-02-15,池袋店,デザート,ケーキ,4,550,2200
2025-02-15,池袋店,フード,サンドイッチ,1,600,600
2025-02-16,新宿店,デザート,プリン,1,380,380
2025-02-16,新宿店,ドリンク,コーヒー,4,450,1800
2025-02-16,横浜店,フード,パスタ,1,950,950
2025-02-17,新宿店,ドリンク,ジュース,4,350,1400
2025-02-17,横浜店,ドリンク,コーヒー,1,450,450
2025-02-17,横浜店,ドリンク,ジュース,5,350,1750
